"","sp_name","sp_subtribe","sp_lat","sp_lon"
"1","Calamus_castaneus","Calaminae",17.44873,96.62345
"2","Calamus_castaneus","Calaminae",3,102.33333
"3","Calamus_castaneus","Calaminae",4.7,102.466667
"4","Calamus_castaneus","Calaminae",4.7,102.466667
"5","Calamus_castaneus","Calaminae",4.7,102.466667
"6","Calamus_castaneus","Calaminae",4.7,102.466667
"7","Calamus_castaneus","Calaminae",4.7,102.466667
"8","Calamus_castaneus","Calaminae",4.7,102.466667
"9","Calamus_castaneus","Calaminae",6.616667,101.65
"10","Calamus_castaneus","Calaminae",6.616667,101.65
"11","Calamus_castaneus","Calaminae",5.774337,101.072312
"12","Calamus_castaneus","Calaminae",5.774337,101.072312
"13","Calamus_castaneus","Calaminae",4.662094,101.156961
"14","Calamus_castaneus","Calaminae",4.47707,101.16527
"15","Calamus_castaneus","Calaminae",3.792368,109.708193
"16","Calamus_castaneus","Calaminae",3.792368,109.708193
"17","Calamus_castaneus","Calaminae",3.792368,109.708193
"18","Calamus_castaneus","Calaminae",3.792368,109.708193
"19","Calamus_castaneus","Calaminae",3.792368,109.708193
"20","Calamus_castaneus","Calaminae",4.8,100.75
"21","Calamus_castaneus","Calaminae",4.8,100.75
"22","Calamus_castaneus","Calaminae",4.8,100.75
"23","Calamus_castaneus","Calaminae",3.792368,109.708193
"24","Calamus_castaneus","Calaminae",3.792368,109.708193
"25","Calamus_castaneus","Calaminae",1.351617,103.80805
"26","Calamus_concolor","Calaminae",1.92,117.17
"27","Calamus_concolor","Calaminae",5.15,116
"28","Calamus_concolor","Calaminae",5.67,116.17
"29","Calamus_concolor","Calaminae",5.183,118.616
"30","Calamus_concolor","Calaminae",5.203,118.66
"31","Calamus_concolor","Calaminae",5.183,118.616
"32","Calamus_concolor","Calaminae",5.183,118.616
"33","Calamus_concolor","Calaminae",-0.33,115.92
"34","Calamus_concolor","Calaminae",-0.333333,115.916667
"35","Calamus_concolor","Calaminae",4.6,115.18
"36","Calamus_concolor","Calaminae",5.83,117.93
"37","Calamus_concolor","Calaminae",5.98,116.23
"38","Calamus_concolor","Calaminae",3.666,115.833
"39","Calamus_concolor","Calaminae",3.67,115.83
"40","Calamus_concolor","Calaminae",6.12,116.72
"41","Calamus_concolor","Calaminae",1.67,115
"42","Calamus_concolor","Calaminae",1.666667,115
"43","Calamus_concolor","Calaminae",-1,117
"44","Calamus_concolor","Calaminae",1.033028,116.876444
"45","Calamus_concolor","Calaminae",4.48,115.18
"46","Calamus_concolor","Calaminae",4.55,115.15
"47","Calamus_concolor","Calaminae",4.55,115.15
"48","Calamus_concolor","Calaminae",4.55,115.15
"49","Calamus_concolor","Calaminae",1.67,115
"50","Calamus_concolor","Calaminae",1.666667,115
"51","Calamus_concolor","Calaminae",2.85,115.92
"52","Calamus_concolor","Calaminae",2.85,115.916667
"53","Calamus_concolor","Calaminae",-1,117
"54","Calamus_concolor","Calaminae",4.63,114.8
"55","Calamus_concolor","Calaminae",5.58,117.17
"56","Calamus_concolor","Calaminae",5.540833,117.071667
"57","Calamus_concolor","Calaminae",3.75,115.45
"58","Calamus_concolor","Calaminae",3.75,115.45
"59","Calamus_concolor","Calaminae",5.7,118.38
"60","Calamus_concolor","Calaminae",5.266667,116.966667
"61","Calamus_concolor","Calaminae",5.08,115.55
"62","Calamus_concolor","Calaminae",2.7,113.78
"63","Calamus_concolor","Calaminae",2.7,113.783333
"64","Calamus_concolor","Calaminae",2.53,114.07
"65","Calamus_concolor","Calaminae",5.33,116.17
"66","Calamus_concolor","Calaminae",-2.72,115.62
"67","Calamus_concolor","Calaminae",5.47,116.27
"68","Calamus_concolor","Calaminae",5.46,116.04
"69","Calamus_concolor","Calaminae",5.2,115.95
"70","Calamus_concolor","Calaminae",5.33,115.75
"71","Calamus_concolor","Calaminae",4.63,117.4
"72","Calamus_concolor","Calaminae",4.05,114.93
"73","Calamus_concolor","Calaminae",1.92,111.18
"74","Calamus_concolor","Calaminae",1.92,111.18
"75","Calamus_concolor","Calaminae",1.92,111.18
"76","Calamus_concolor","Calaminae",-2.083333,101.383333
"77","Calamus_concolor","Calaminae",-0.5,116.5
"78","Calamus_concolor","Calaminae",-0.5,116.5
"79","Calamus_concolor","Calaminae",-0.5,116.5
"80","Calamus_concolor","Calaminae",-2.58,115.38
"81","Calamus_concolor","Calaminae",-2.583333,115.383333
"82","Calamus_concolor","Calaminae",-1.9,115.6
"83","Calamus_concolor","Calaminae",-1.9,115.6
"84","Calamus_concolor","Calaminae",-1.9,115.6
"85","Calamus_concolor","Calaminae",-1.9,115.6
"86","Calamus_concolor","Calaminae",5.47,116.27
"87","Calamus_conirostris","Calaminae",4.6,115.18
"88","Calamus_conirostris","Calaminae",1.4,110.3
"89","Calamus_conirostris","Calaminae",4.6,115.18
"90","Calamus_conirostris","Calaminae",4.63,114.8
"91","Calamus_conirostris","Calaminae",1.75,117.5
"92","Calamus_conirostris","Calaminae",4.53,114.58
"93","Calamus_conirostris","Calaminae",4.3,114.43
"94","Calamus_conirostris","Calaminae",1.666667,115
"95","Calamus_conirostris","Calaminae",1.666667,115
"96","Calamus_conirostris","Calaminae",1.666667,115
"97","Calamus_conirostris","Calaminae",1.666667,115
"98","Calamus_conirostris","Calaminae",4.32,114.62
"99","Calamus_conirostris","Calaminae",1.67,115
"100","Calamus_conirostris","Calaminae",1.666667,115
