36	4 (AFR AUS IND NEO)
Calamus_calospathus	0010
Calamus_castaneus	0010
Calamus_concolor	0010
Calamus_conirostris	0010
Calamus_deerratus	1000
Calamus_dumetosus	0010
Calamus_gracilipes	0010
Calamus_hollrungii	0100
Calamus_melanochaetes	0110
Calamus_nanodendron	0010
Calamus_thysanolepis	0010
Calamus_ursinus	0010
Eleiodoxa_conferta	0010
Eremospatha_wendlandiana	1000
Eugeissona_tristis	0010
Eugeissona_utilis	0010
Korthalsia_cheb	0010
Korthalsia_jala	0010
Laccosperma_acutiflorum	1000
Laccosperma_opacum	1000
Lepidocaryum_tenue	0001
Mauritia_flexuosa	0001
Mauritiella_armata	0001
Metroxylon_sagu	0110
Metroxylon_salomonense	0100
Myrialepis_paradoxa	0010
Oncocalamus_mannii	1000
Pigafetta_filaris	0100
Plectocomia_elongata	0010
Plectocomia_mulleri	0010
Plectocomiopsis_geminiflora	0010
Raphia_farinifera	1000
Salacca_glabrescens	0010
Salacca_rupicola	0010
Salacca_ramosiana	0010
Pigafetta_elata	0110
